 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
405,1,0,1,0,0,1.41,0,0,1.41
406,1,0,1,0,0,56.77,0,0,56.77
407,1,0,1,0,0,24.14,0,0,24.14
408,1,0,1,0,0,55.53,0,0,55.53
409,0,0,1,0,0,0.00,0,0,0.00
410,1,0,1,0,0,2.41,0,0,2.41
411,1,0,1,0,0,11.90,0,0,11.90
412,0,0,1,0,0,0.00,0,0,0.00
413,1,0,1,0,0,15.49,0,0,15.49
414,3,1,0,3,0,13.57,0,0,24.97
415,1,0,1,0,0,8.41,0,0,8.41
416,1,0,1,0,0,28.14,0,0,28.14
417,1,0,1,0,0,21.31,0,0,21.31
418,1,0,1,0,0,99.02,0,0,99.02
419,1,0,1,0,0,7.66,0,0,7.66
420,1,0,1,0,0,2.83,0,0,2.83
421,1,0,1,0,0,10.66,0,0,10.66
422,1,0,1,0,0,4.41,0,0,4.41
423,1,0,1,0,0,7.41,0,0,7.41
424,1,0,1,0,0,14.66,0,0,14.66
425,1,0,1,0,0,2.41,0,0,2.41
426,1,0,1,0,0,15.07,0,0,15.07
427,1,0,1,0,0,23.14,0,0,23.14
428,1,0,1,0,0,2.41,0,0,2.41
429,1,0,1,0,0,16.07,0,0,16.07
430,1,0,1,0,0,11.24,0,0,11.24
431,1,0,1,0,0,18.31,0,0,18.31
432,1,0,1,0,0,94.84,0,0,94.84
433,1,0,1,0,0,14.24,0,0,14.24
434,1,0,1,0,0,38.04,0,0,38.04
435,1,0,1,0,0,13.31,0,0,13.31
436,1,0,1,0,0,13.49,0,0,13.49
437,0,0,1,0,0,0.00,0,0,0.00
438,1,0,1,0,0,29.21,0,0,29.21
439,3,1,0,3,0,13.13,0,0,25.56
440,1,0,1,0,0,20.49,0,0,20.49
441,0,0,1,0,0,0.00,0,0,0.00
442,1,0,1,0,0,4.24,0,0,4.24
443,1,0,1,0,0,1.00,0,0,1.00
444,1,0,1,0,0,24.49,0,0,24.49
445,3,1,0,3,0,5.30,0,0,7.66
446,1,0,1,0,0,7.41,0,0,7.41
447,1,0,1,0,0,5.41,0,0,5.41
448,1,0,1,0,0,30.97,0,0,30.97
449,1,0,1,0,0,63.67,0,0,63.67
450,1,0,1,0,0,36.56,0,0,36.56
451,1,0,1,0,0,44.31,0,0,44.31
452,1,0,1,0,0,31.56,0,0,31.56
453,3,1,0,1,0,31.69,0,0,65.94
454,1,0,1,0,0,17.83,0,0,17.83
455,1,0,1,0,0,3.83,0,0,3.83
456,1,0,1,0,0,24.80,0,0,24.80
457,1,0,1,0,0,7.24,0,0,7.24
458,1,0,1,0,0,33.80,0,0,33.80
459,0,0,1,0,0,0.00,0,0,0.00
460,12,6,0,13,55,12.38,0,1,28.63
461,1,0,1,0,0,13.49,0,0,13.49
462,0,0,1,0,0,0.00,0,0,0.00
463,1,0,1,0,0,21.49,0,0,21.49
464,1,0,1,0,0,2.41,0,0,2.41
465,1,0,1,0,0,1.00,0,0,1.00
466,1,0,1,0,0,10.66,0,0,10.66
