 ,Feret,FeretX,FeretY,FeretAngle,MinFeret
667,3.16,890,1080,108.43,1.00
668,8.06,929,162,60.26,2.04
669,2.24,586,392,153.43,1.00
670,8.06,659,1096,172.87,1.00
671,4.12,951,1402,165.96,1.00
672,13.34,1548,1018,167.01,1.99
673,4.24,1231,1159,135.00,1.41
674,3.61,316,1112,123.69,1.79
675,13.60,493,1249,36.03,2.09
676,5.00,744,386,53.13,1.79
677,3.16,1188,230,161.57,1.00
678,6.32,522,1023,108.43,1.94
679,21.02,937,1139,92.73,1.00
680,21.02,915,1161,177.27,1.00
681,13.89,1738,1119,149.74,2.14
682,5.39,893,143,21.80,1.90
683,8.54,1230,1469,159.44,1.90
684,3.16,556,633,161.57,1.00
685,4.24,374,610,135.00,1.41
686,1.41,560,1117,135.00,1.00
687,2.83,568,1126,135.00,1.41
688,14.87,734,904,42.27,2.05
689,6.40,1090,1459,38.66,1.94
690,9.22,1301,1389,139.40,2.00
691,5.39,334,534,111.80,1.94
692,4.12,397,834,104.04,1.00
693,4.47,453,875,26.57,1.79
694,8.49,546,1212,45.00,1.41
695,3.61,682,216,146.31,1.79
696,13.42,714,554,26.57,1.79
697,13.60,1192,1301,143.97,2.00
698,1.41,1720,1026,135.00,1.00
699,9.49,368,506,161.57,1.96
700,4.47,383,509,153.43,1.90
701,3.61,863,813,123.69,1.79
702,4.12,1091,1548,104.04,1.00
703,11.18,465,1198,10.30,1.97
704,5.10,547,78,101.31,1.00
705,5.00,335,417,36.87,1.94
706,2.24,549,936,153.43,1.00
707,12.21,566,195,145.01,2.09
708,10.00,739,36,36.87,2.00
709,5.83,1045,588,30.96,1.94
710,10.63,1058,367,48.81,2.05
711,1.41,1338,1156,135.00,1.00
712,5.83,1433,835,120.96,1.79
713,3.16,503,341,108.43,1.00
714,11.70,498,360,70.02,2.06
715,2.83,456,716,135.00,1.41
716,4.47,462,727,116.57,1.79
717,2.83,651,554,45.00,1.41
718,16.16,1159,1352,158.20,2.15
719,13.93,648,280,158.96,2.11
720,2.24,1081,1510,153.43,1.00
721,4.47,1092,1514,153.43,1.79
722,9.06,766,905,96.34,1.00
723,4.47,1782,885,153.43,1.79
724,4.24,374,451,135.00,1.41
725,20.25,377,1207,147.09,2.12
726,2.24,484,651,153.43,1.00
727,9.49,1034,567,71.57,1.96
728,1.41,681,235,135.00,1.00
729,10.82,710,245,146.31,2.09
730,2.83,1267,114,45.00,1.41
731,7.81,1271,1356,129.81,2.00
732,2.83,341,545,135.00,1.41
733,8.54,951,238,159.44,1.90
734,21.54,988,1115,158.20,2.11
735,2.24,1385,1248,153.43,1.00
736,12.17,1185,285,170.54,1.98
737,9.22,1549,1046,167.47,1.96
738,1.41,1169,1375,135.00,1.00
739,3.61,507,389,123.69,1.79
740,5.39,297,1025,158.20,1.90
741,7.21,309,421,33.69,1.79
742,8.49,349,1044,45.00,1.41
743,5.39,359,583,111.80,1.90
