 ,Feret,FeretX,FeretY,FeretAngle,MinFeret
310,5.00,962,1001,143.13,1.94
311,7.81,994,911,129.81,2.03
312,4.24,883,902,135.00,1.41
313,15.52,1245,553,104.93,2.06
314,5.00,757,339,126.87,1.79
315,6.40,935,244,51.34,2.00
316,6.32,831,980,18.43,1.90
317,8.54,799,727,20.56,1.90
318,14.32,824,775,155.22,2.11
319,11.18,888,829,26.57,2.10
320,13.04,883,812,175.60,1.00
321,8.06,1380,285,172.87,1.00
322,9.22,1244,458,167.47,1.96
323,2.24,834,686,153.43,1.00
324,1.41,1009,796,135.00,1.00
325,2.83,837,702,45.00,1.41
326,2.83,674,573,135.00,1.41
327,6.32,712,674,71.57,1.90
328,5.10,1356,859,101.31,1.00
329,8.54,965,311,159.44,1.90
330,4.47,977,315,153.43,1.90
331,9.22,899,840,49.40,2.03
332,18.68,849,588,74.48,1.94
333,5.39,886,888,158.20,1.94
334,5.00,870,869,126.87,1.94
335,6.71,1164,928,26.57,1.90
336,19.80,999,376,45.00,1.41
337,1.41,1092,263,135.00,1.00
338,7.62,846,873,66.80,1.94
339,2.83,1250,830,45.00,1.41
340,11.05,811,729,95.19,1.00
341,4.24,1000,372,135.00,1.41
342,1.41,1010,381,135.00,1.00
343,5.00,884,365,143.13,1.94
344,6.40,835,908,51.34,1.94
345,7.81,841,336,129.81,2.00
346,7.62,735,568,156.80,2.04
347,5.00,1221,459,143.13,1.94
348,1.41,846,281,135.00,1.00
349,11.18,862,859,169.70,1.97
350,16.49,959,295,75.96,2.05
351,7.28,1330,685,105.95,1.94
352,3.16,766,696,161.57,1.00
353,3.61,1187,530,33.69,1.79
354,5.39,857,358,21.80,1.90
355,4.47,1004,862,63.43,1.90
356,6.71,1106,260,153.43,1.79
357,10.82,1231,558,33.69,1.94
358,3.61,818,586,33.69,1.79
359,5.39,808,589,21.80,1.90
360,8.94,829,558,26.57,1.79
361,13.60,840,997,126.03,1.94
362,5.83,883,358,59.04,1.94
363,6.40,1247,673,128.66,1.94
364,12.04,1261,552,94.76,1.00
365,3.61,1270,563,33.69,1.79
366,10.05,829,510,95.71,1.00
367,2.24,832,894,153.43,1.00
368,8.06,972,1030,172.87,1.00
369,3.16,1101,261,108.43,1.00
370,9.85,825,972,66.04,2.04
371,8.54,858,863,110.56,2.04
372,20.62,907,855,67.17,2.15
373,5.39,951,246,111.80,1.90
374,6.71,1122,925,63.43,2.04
375,3.61,1402,178,56.31,1.79
376,6.40,973,993,128.66,1.94
377,1.41,814,371,135.00,1.00
378,5.00,823,376,143.13,1.79
379,6.40,884,879,38.66,1.94
380,4.12,1215,503,165.96,1.00
381,2.24,1225,549,116.57,1.00
382,15.03,882,798,176.19,1.00
383,1.41,1137,457,135.00,1.00
384,4.47,927,739,63.43,1.79
385,5.39,1081,499,21.80,1.90
386,7.81,1261,758,39.81,1.94
387,7.28,1030,281,74.05,1.94
388,8.54,1019,274,110.56,1.94
389,3.61,1177,404,123.69,1.79
390,9.22,1320,408,139.40,2.00
391,8.06,1243,446,172.87,1.00
392,9.22,1297,440,49.40,2.00
393,3.16,650,994,108.43,1.00
394,4.12,767,975,165.96,1.00
395,6.71,902,404,26.57,2.04
396,2.83,985,186,45.00,1.41
397,6.32,1057,684,161.57,1.94
398,2.24,1442,1136,153.43,1.00
399,3.16,1463,495,161.57,1.00
400,6.40,1519,569,51.34,2.00
401,1.41,1465,531,135.00,1.00
